lineid,car,time,location,longitude,latitude,cityid,cityname
251010,KEV-0028,"2026/04/06 17:42:27",新北市淡水區淡海路280巷97號,121.420046666667,25.188525,6501000,淡水區
251013,KEQ-0332,"2026/04/06 17:42:31",新北市淡水區演戲埔腳11號,121.469506666667,25.1948233333333,6501000,淡水區
251002,KEV-0032,"2026/04/06 17:42:30",新北市淡水區清水街246號,121.440623333333,25.1721033333333,6501000,淡水區
251015,KEA-2871,"2026/04/06 17:42:26",新北市淡水區糞箕湖1-2號,121.482496666667,25.1707133333333,6501000,淡水區
251008,179-VK,"2026/04/06 17:42:24",新北市淡水區八勢路73巷12-1號,121.464555,25.1542966666667,6501000,淡水區
251005,441-VK,"2026/04/06 17:42:40",新北市淡水區鄧公路32巷1號,121.45159,25.1713566666667,6501000,淡水區
251007,442-VK,"2026/04/06 17:42:32",新北市淡水區民生路52巷24號,121.462538333333,25.13769,6501000,淡水區
251006,443-VK,"2026/04/06 17:42:26",新北市淡水區大信街32號,121.442153333333,25.177185,6501000,淡水區
251004,KEU-5221,"2026/04/06 17:42:33",新北市淡水區民權一街2號,121.459385,25.137605,6501000,淡水區
251011,KEG-2913,"2026/04/06 17:42:37",新北市淡水區坪頂路761號,121.48376,25.15766,6501000,淡水區
251009,577-R6,"2026/04/06 17:42:36",新北市淡水區鼻頭街18-5號,121.446863333333,25.166765,6501000,淡水區
251003,673-BX,"2026/04/06 17:42:26",新北市淡水區中山北路一段69號,121.441878333333,25.1757733333333,6501000,淡水區
251012,KEJ-6391,"2026/04/06 17:42:30",新北市淡水區淡金路一段571號,121.452556666667,25.18052,6501000,淡水區
207003,KEJ-6502,"2026/04/06 17:42:32",新北市萬里區龜吼里漁澳路26號,121.685926666667,25.1950666666667,6502800,萬里區
251014,KEU-3217,"2026/04/06 17:42:32",新北市淡水區公埔子16-6號,121.481001666667,25.2245666666667,6501000,淡水區
239001,KEE-1109,"2026/04/06 17:42:41",新北市鶯歌區中正三路136號,121.336311666667,24.9400683333333,6500800,鶯歌區
252002,AAC-283,"2026/04/06 17:42:30",新北市三芝區中正路二段2號,121.504698333333,25.25556,6502100,三芝區
237014,KEU-5223,"2026/04/06 17:42:23",新北市三峽區中山路138-3號,121.365103333333,24.9363416666667,6500900,三峽區
228003,KEL-5003,"2026/04/06 17:42:41",新北市貢寮區仁里里仁和路33號,121.923915,25.0538583333333,6502600,貢寮區
237012,275-BY,"2026/04/06 17:42:30",新北市三峽區中山路306號,121.35539,24.9363933333333,6500900,三峽區
237007,KEV-0022,"2026/04/06 17:42:34",新北市三峽區中園街227號,121.36692,24.9197033333333,6500900,三峽區
237011,KEA-2596,"2026/04/06 17:42:35",新北市三峽區中園街9-1號,121.369376666667,24.9272233333333,6500900,三峽區
237013,KEG-2905,"2026/04/06 17:42:37",新北市三峽區中華路8-1號,121.374958333333,24.93313,6500900,三峽區
237010,KEJ-6636,"2026/04/06 17:42:22",新北市三峽區中山路110號,121.365828333333,24.9358983333333,6500900,三峽區
237009,KEU-5226,"2026/04/06 17:42:29",新北市三峽區中山路184巷16號,121.364363333333,24.93672,6500900,三峽區
237005,AKY-6261,"2026/04/06 17:42:25",新北市三峽區中山路388號,121.354461666667,24.93641,6500900,三峽區
247026,KED-0683,"2026/04/06 17:42:23",新北市蘆洲區長安街95號,121.461956666667,25.0806483333333,6501400,蘆洲區
252001,KED-0821,"2026/04/06 17:42:31",新北市三芝區中山路一段8號,121.500698333333,25.2587033333333,6502100,三芝區
244025,KEU-5233,"2026/04/06 17:42:24",新北市林口區粉寮路二段160巷28號,121.405116666667,25.0908666666667,6501700,林口區
242019,AAC-296,"2026/04/06 17:42:19",新北市新莊區中港路205號,121.454835,25.041905,6500500,新莊區
242060,986-R7,"2026/04/06 17:42:20",新北市新莊區新樹路601號,121.43322,25.00589,6500500,新莊區
242013,751-BX,"2026/04/06 17:42:34",新北市新莊區中誠街140號,121.448856666667,25.0476566666667,6500500,新莊區
